fingerprint,file,name,lat,lon,n_identical
b9af67c82f1297f7292467129e812295,harmonics/noaa/harmonics_noaa_cptt.txt,"Port Baras, Zamboanga del Sur, Philippines",7.6333,124.0167,2
baf5b6845de40471a1cb7cb6c7815545,harmonics/noaa/harmonics_noaa_cptt.txt,"Parasan Harbor, Daram Island, Samar, Philippines",11.7,124.75,2
baf5b6845de40471a1cb7cb6c7815545,harmonics/noaa/harmonics_noaa_cptt.txt,"Catbalogan, Samar, Philippines",11.7833,124.8833,2
c5d5d16b04dc3f8d2ed6111b44922ee2,harmonics/noaa/harmonics_noaa_cptt.txt,"Port Kholmnsk, Russia",47.05,142.033,2
c5d5d16b04dc3f8d2ed6111b44922ee2,harmonics/noaa/harmonics_noaa_cptt.txt,"Nodasan (Noda), Russia",47.4333,141.9667,2
cc9691db3656ce0baae73f67c77535a6,harmonics/noaa/harmonics_noaa_cptt.txt,"Apo Island, Mindoro Strait, Occidental Mindoro, Philippines",12.6667,120.4,2
cc9691db3656ce0baae73f67c77535a6,harmonics/noaa/harmonics_noaa_cptt.txt,"Sablayan, Occidental Mindoro, Philippines",12.8333,120.7667,2
d9a64724363840dee58a84ed175a6b25,harmonics/noaa/harmonics_noaa_cptt.txt,"Tugas Point, Surigao del Sur, Philippines",9.4833,125.95,2
d9a64724363840dee58a84ed175a6b25,harmonics/noaa/harmonics_noaa_cptt.txt,"Buenavista, General Island, Surigao del Sur, Philippines",9.4167,126.0,2
ea086661ad6d6c49a4280026f63a9174,harmonics/noaa/harmonics_noaa_cptt.txt,"Inampulugan I., Guimaras Island, Negros Occidental, Philippines",10.45,122.7167,4
ea086661ad6d6c49a4280026f63a9174,harmonics/noaa/harmonics_noaa_cptt.txt,"Tubigon, Bohol, Philippines",9.95,123.9667,4
ea086661ad6d6c49a4280026f63a9174,harmonics/noaa/harmonics_noaa_cptt.txt,"Port Concepcion, Maestre de Campo I, Romblon, Philippines",12.9167,121.7333,4
ea086661ad6d6c49a4280026f63a9174,harmonics/noaa/harmonics_noaa_cptt.txt,"Mansalay, Occidental Mindoro, Philippines",12.5167,121.4333,4
f46ebf9e4a72833d2f29d6213996aaf6,harmonics/noaa/harmonics_noaa_cptt.txt,"Mercedes, Camarines Norte, Philippines",14.1167,123.0167,2
f46ebf9e4a72833d2f29d6213996aaf6,harmonics/noaa/harmonics_noaa_cptt.txt,"Sisiran Bay, Catanduanes, Philippines",13.9333,123.65,2
f54926e861bb15da95b67320963d6d9f,harmonics/noaa/harmonics_noaa_cptt.txt,"Taytay, Palawan, Philippines",10.8333,119.5167,3
f54926e861bb15da95b67320963d6d9f,harmonics/noaa/harmonics_noaa_cptt.txt,"Paly Island, Palawan, Philippines",10.7,119.7,3
f54926e861bb15da95b67320963d6d9f,harmonics/noaa/harmonics_noaa_cptt.txt,"Araceli, Dumaran Island, Palawan, Philippines",10.55,119.9833,3
f6dd4ad3dc501159d734c67dce447955,harmonics/noaa/harmonics_noaa_cptt.txt,"Moalboal, Bohol, Philippines",9.9333,123.4,2
f6dd4ad3dc501159d734c67dce447955,harmonics/noaa/harmonics_noaa_cptt.txt,"Barili Bay, Negros Occidental, Philippines",10.1167,123.4833,2
072975161755e9ee9625f6bee4cd2d3c,harmonics/noaa/harmonics_noaa_currents.txt,"Boston Islands, 1 mile south from, Canada Current",54.6833,-130.5667,2
072975161755e9ee9625f6bee4cd2d3c,harmonics/noaa/harmonics_noaa_currents.txt,"Point Davidson, 1 mile south of, Canada Current",54.9833,-131.6,2
1f1129b52773ba392712639879756ee4,harmonics/noaa/harmonics_noaa_currents.txt,"Ransom Point, Canada Current",50.4667,-126.1,2
1f1129b52773ba392712639879756ee4,harmonics/noaa/harmonics_noaa_currents.txt,"Off Broken Island, Canada Current",50.5,-126.2833,2
392daa2249bc8554e440e534e275f721,harmonics/noaa/harmonics_noaa_currents.txt,"Kuhushan Point, Canada Current",49.8833,-125.0667,2
392daa2249bc8554e440e534e275f721,harmonics/noaa/harmonics_noaa_currents.txt,"Shelter Point, Canada Current",49.95,-125.1667,2
41ef76c91f3e22b85924f9d298986925,harmonics/noaa/harmonics_noaa_currents.txt,"Skin Island, 3 miles east from, Canada Current",55.3,-131.9833,3
41ef76c91f3e22b85924f9d298986925,harmonics/noaa/harmonics_noaa_currents.txt,"Guard Islands, 2 miles west of, Canada Current",55.45,-131.95,3
41ef76c91f3e22b85924f9d298986925,harmonics/noaa/harmonics_noaa_currents.txt,"Corlies Islands, Canada Current",55.1333,-132.9667,3
420731b178a42dc3368f6551c10bd75c,harmonics/noaa/harmonics_noaa_currents.txt,"Point McCartey Light, Canada Current",55.1167,-131.7,2
