name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Ilha Fiscal, Rio de Janeiro, Brazil",harmonics_utide_tidetables.txt,16.3,harmonics_utide_observations.txt,15.3,1.44
"Immingham (Humberside), England, United Kingdom",harmonics_ticon4_worldwide.txt,9.6,harmonics-dwf-20100529-nonfree_mod.txt,9.6,7.29
"Immingham (Humberside), England, United Kingdom",harmonics_utide_observations.txt,11.0,harmonics-dwf-20100529-nonfree_mod.txt,9.6,7.29
"Inukjuak, Québec, Canada",harmonics_utide_tidetables.txt,1.1,harmonics-2004-06-14_mod.txt,0.6,0.38
"Iquique, Chile",harmonics_noaa_amtt.txt,7.7,harmonics-1997-05-25_mod.txt,5.8,1.41
"Irozaki, Shizuoka, Japan",harmonics_ticon4_worldwide.txt,2.7,harmonics_utide_observations.txt,1.5,1.98
"Isaacs Harbour, Nova Scotia, Canada",harmonics_utide_tidetables.txt,6.4,harmonics-2004-06-14_mod.txt,6.0,1.85
"Isachsen, Nunavut, Canada",harmonics-2004-06-14_mod.txt,0.7,harmonics_utide_tidetables.txt,0.3,0.37
"Ishigaki, Okinawa, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.5,2.36
"Ishikari, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.7,harmonics_utide_observations.txt,1.4,0.49
"Ishinomaki, Miyagi, Japan",harmonics_ticon4_worldwide.txt,3.2,harmonics_utide_observations.txt,2.0,1.84
"Isle Aux Morts, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.7,harmonics_utide_tidetables.txt,1.1,1.59
"Iwanai, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.1,harmonics_utide_observations.txt,0.9,0.52
"Izuhara, Nagasaki, Japan",harmonics_ticon4_worldwide.txt,2.2,harmonics_utide_observations.txt,0.9,2.24
"Jackson Bay, New Zealand",harmonics_ticon4_worldwide.txt,12.1,harmonics_utide_observations.txt,12.0,2.56
"Jau-Dignac-et-Loirac (Richard), France",harmonics_ticon4_worldwide.txt,27.7,harmonics_utide_observations.txt,26.1,5.28
"Johnson Point, British Columbia, Canada",harmonics-2004-06-14_mod.txt,41.4,harmonics_utide_tidetables.txt,40.7,3.47
"Johnstown, Nova Scotia, Canada",harmonics_utide_tidetables.txt,1.2,harmonics-2004-06-14_mod.txt,1.0,0.32
