name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"Bergh Cove, British Columbia, Canada","Bergh Cove, Quatsino Sound, British Columbia, Canada",,0.66,4.1,+0.07,1000,1.00,N,247,harmonics_utide_tidetables.txt,harmonics_noaa_amtt.txt,
"Bergh Cove, Quatsino Sound, British Columbia, Canada","Quatsino Village, British Columbia, Canada",,0.66,4.5,-0.08,999,0.75,N,247,harmonics_noaa_amtt.txt,harmonics-2004-06-14_mod.txt,
"Uwajima Ko, Ehime, Japan","Uwajima, Ehime, Japan",,0.69,10.0,+0.17,981,1.00,N,2691,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Franklin River, British Columbia, Canada","Sproat Narrows, British Columbia, Canada",,0.71,1.6,-0.08,999,0.50,N,744,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Port Louis, France","Port-Louis (Locmalo), France",,0.71,9.5,-0.07,1000,1.00,N,1990,harmonics_noaa_eutt.txt,harmonics_utide_tidetables.txt,
"Penfret (Îles de Glénan), France","Île de Penfret, France",,0.76,8.1,+0.00,1000,0.67,N,1851,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Monbetsu Byochi, Hokkaido, Japan","Monbetsu, Hokkaido, Japan",,0.81,6.7,-0.17,987,1.00,N,1520,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Île de Molène, France","Île-Molène, France",,0.81,7.4,-0.15,1000,1.00,N,2851,harmonics_noaa_eutt.txt,harmonics-pierre-lavergne-v10_mod.txt,
"Île Molène, France","Île de Molène, France",,0.81,7.5,+0.15,1000,1.00,N,2851,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Kannoura Ko, Kochi, Japan","Kannoura, Kochi, Japan",,0.83,9.2,+0.05,995,1.00,N,1099,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Ominato Ko, Mutsu Kaiwan, Aomori, Japan","Ominato, Aomori, Japan",,0.83,10.0,+0.05,992,1.00,N,1728,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
